ກປ.ອອນໄລ - ໜຶ່ງໃນບັນດາເນື້ອໃນທີ່ໄດ້ເຕື້ອງເຖິງຫຼາຍໃນບົດຂຽນ “ບາງບັນຫາທິດສະດີ ແລະພຶດຕິກໍາຕົວຈິງກ່ຽວກັບລັດທິສັງຄົມນິຍົມ ແລະເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມ ຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດຫວຽດນາມ ນັ້ນແມ່ນຍົກອອກລະບົບທີ່ເປັນປະຖົມປັດໄຈເພື່ອຢັ້ງຢືນລັກສະນະທີ່ຈໍາເປັນຕ້ອງຢຶດໝັ້ນຕໍ່ເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມ ເຊິ່ງພັກ ແລະຊາດເຮົາໄດ້ເລືອກເຟັ້ນ.	Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
ຕາມທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຝູຈ້ອງ ແລ້ວ: ເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມແມ່ນສັດຈະທຳຄົງຕົວຕະຫຼອດການ, ແມ່ນກົດເກນແຫ່ງການສ້າງຕັ້ງ, ພັດທະນາ ແລະຍາດໄດ້ໄຊຊະນະຂອງການປະຕິວັດຫວຽດນາມ!	Theo Tổng Bí thư Nguyễn Phú Trọng, con đường đi lên chủ nghĩa xã hội là huyết mạch của dân tộc, là quy luật hình thành, phát triển và thắng lợi của cách mạng Việt Nam!
ຖືກຕ້ອງຄືແນວນັ້ນ, ເມື່ອຍັງບໍ່ທັນມີພັກ, ທ່າອ່ຽງປະຕິວັດ ແລະຂະບວນການຮັກຊາດເຖິງວ່າໄດ້ດໍາເນີນຢ່າງຟົດຟື້ນ, ກວ້າງຂວາງກໍ່ຕາມ, ແຕ່ສຸດທ້າຍຍັງບໍ່ທັນນໍາມາເຊິ່ງຜົນສໍາເລັດ.	Đúng là trong trường hợp không có đảng, các khuynh hướng cách mạng và phong trào yêu nước, mặc dù sôi nổi và rộng khắp nhưng cuối cùng vẫn chưa thành công.
ມາຮອດເວລາທີ່ປະທານໂຮ່ຈີມິນ ຊອກເຫັນເສັ້ນທາງກູ້ຊາດ, ວາງອອກເປົ້າໝາຍອຸດົມການເອກະລາດແຫ່ງຊາດ, ຕິດພັນກັບລັດທິສັງຄົມນິຍົມນັ້ນ, ແສງສະຫວ່າງແຫ່ງການປະຕິວັດຢູ່ຫວຽດນາມ ຈຶ່ງໄດ້ສ່ອງແສງເຍືອງທາງ.	Đến khi Chủ tịch Hồ Chí Minh tìm thấy con đường giải phóng dân tộc, đặt mục tiêu độc lập dân tộc và đi lên chủ nghĩa xã hội, ánh sáng của cách mạng Việt Nam đã sáng ngời.
ເດີນຕາມເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມ, ຜ່ານໄລຍະຕ່າງໆຂອງການປະຕິວັດ, ພັກກອມມູນິດຫວຽດນາມ ຍາມໃດກໍ່ຢຶດໝັ້ນ: ລັດທິສັງຄົມນິຍົມແມ່ນເປົ້າໝາຍ, ອຸດົມການຂອງພັກກອມມູນິດ ແລະປະຊາຊົນຫວຽດນາມ;	Đi theo con đường chủ nghĩa xã hội, trải qua các giai đoạn cách mạng, Đảng Cộng sản Việt Nam luôn tôn trọng: Chủ nghĩa xã hội là mục tiêu, là lý tưởng của Đảng Cộng sản và dân tộc Việt Nam;
ເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມ ແມ່ນເສັ້ນທາງທີ່ຈໍາເປັນຂອງການປະຕິວັດຫວຽດນາມ.	Con đường đi lên chủ nghĩa xã hội là con đường cần thiết của cách mạng Việt Nam.
ແລະໃນຕົວຈິງ, ບໍ່ວ່າຢູ່ໃນສະພາບການໃດ, ເສັ້ນທາງ ແລະອຸດົມການອັນສູງສ່ົງນັ້ນຍັງບໍ່ເຄີຍຜິດເຂວຈັກເທື່ອ, ແມ່ນເປົ້າໝາຍໜຶ່ງດຽວ ແລະສູງສຸດ ເຊິ່ງທ່ົວພັກ, ທ່ົວປວງຊົນ, ທ່ົວກອງທັບມຸ່ງໄປເຖິງ.	Và thực tế cho thấy, dù trong hoàn cảnh nào, đường lối, tư tưởng cao cả đó chưa bao giờ sai, đó là mục tiêu duy nhất, toàn đảng, toàn dân, toàn quân hướng tới.
ຍ້ອນເຫດນັ້ນ, ໃນບາດກ້າວປະຕິບັດເປົ້າໝາຍສັງຄົມນິຍົມ, ພັກ ແລະຊາດເຮົາຕ້ອງໄດ້ແລກດ້ວຍເຫື່ອແຮງເລືອດເນື້ອຂອງປະຊາຊົນຫວຽດນາມ ຫຼາຍຮຸ່ນຄົນ ເພື່ອສ້າງໄຊຊະນະທີ່ຍິ່ງໃຫຍ່, ເຮັດໃຫ້ໂລກຕ້ອງນິຍົມນັບຖື, ຮັບຮູ້.	Vì vậy, trong quá trình thực hiện mục tiêu của chủ nghĩa xã hội, Đảng và dân tộc ta phải đánh đổi công lao của nhiều thế hệ người Việt Nam để giành được thắng lợi to lớn, được thế giới tôn trọng và ghi nhận.
ບັນຍາກາດທີ່ກອງປະຊຸມໃຫຍ່ຜູ້ແທນທ່ົວປະເທດ ຄັ້ງທີ XIII ຂອງພັກກອມມູນິດຫວຽດນາມ.	Khí thế của Đại hội đại biểu toàn quốc lần thứ 13 của Đảng cộng sản Việt Nam.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ພາຍໃຕ້ການນໍາພາຂອງພັກ, ເສັ້ນທາງກ້າວຂຶ້ນສັງຄົມນິຍົມຂອງຫວຽດນາມ ໄດ້ທົດສອບຜ່ານເຫດການປະຫວັດສາດທີ່ມີລັກສະນະຍຸກສະໄໝ.	Dưới sự lãnh đạo của Đảng, con đường xã hội chủ nghĩa của Việt Nam đã được thử thách qua các sự kiện lịch sử hiện đại.
