ກປ.ອອນໄລ - ປີ 2021 ເປັນຂີດໝາຍ 110 ປີແຫ່ງວັນລຸງໂຮ່ ເດີນທາງໄປຊອກຫາເສັ້ນທາງກູ້ຊາດ (5-6-1911 / 5-6-2021).	Năm 2021 đánh dấu kỷ niệm 110 năm Ngày Bác Hồ ra đi tìm đường cứu nước (5-6-1911 / 5-6-2021).
ເພື່ອຕີລາຄາໃຫ້ຄົບຖ້ວນກວ່າຄວາມຍິ່ງໃຫຍ່ຂອງເຫດການນີ້, ພະແນກ ໂຮ່ຈີມິນ ວິທະຍາ, ວິທະຍາຄານການເມືອງ ໄດ້ຈັດກອງປະຊຸມສໍາມະນາວິທະຍາສາດຂຶ້ນດ້ວຍຫົວຂໍ້: “ໂຮ່ຈີມິນ ກັບເສັ້ນທາງພັດທະນາຂອງຫວຽດນາມ - ບັນດາບັນຫາທິດສະດີ ແລະພຶດຕິກໍາຕົວຈິງ.	Để luận giải đầy đủ tầm quan trọng của sự kiện này, Khoa Chính trị và Công nghệ Trường Đại học Hồ Chí Minh đã tổ chức tọa đàm khoa học “Hồ Chí Minh và con đường phát triển của Việt Nam - những vấn đề lý luận và thực tiễn.
ຜ່ານກອງປະຊຸມສໍາມະນາ, ຈະປະກອບສ່ວນຊ່ວຍໃຫ້ເພື່ອນຜູ້ອ່ານມີຄວາມຮູ້, ຄວາມເຊື່ອໝັ້ນ ແລະຄວາມມຸ່ງຫວັງຕື່ມອີກ ເພື່ອສ້າງສາປະເທດຊາດໃຫ້ຮັ່ງມີ, ໝັ້ນຄົງເຂັ້ມແຂງຕາມຈິດໃຈມະຕິກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ.	Thông qua tọa đàm sẽ góp phần tiếp thêm cho bạn đọc những hiểu biết, niềm tin và khát vọng xây dựng đất nước giàu mạnh theo tinh thần nghị quyết Đại hội Đảng lần thứ XIII.
ການປະຕິວັດກໍາມະຊີບ - ເສັ້ນທາງອັນຖືກຕ້ອງເພື່ອກູ້ຊາດ ແລະພັດທະນາປະເທດຊາດ	Cách mạng chuyên nghiệp - con đường cứu nước và phát triển dân tộc đúng đắn
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານພັນເອກພິເສດ ຮສຈ.	Phát biểu tại buổi gặp mặt, Đại tá đặc công PGS.TS.
ປອ ຫງວຽນຫຶວເລິບ, ຫົວໜ້າພະແນກໂຮ່ຈີມິນ ວິທະຍາ, ວິທະຍາຄານການເມືອງ, ເນັ້ນໜັກວ່າ: “ຄວາມຈິງສະແດງໃຫ້ເຫັນວ່າ ໃນທ້າຍສັດຕະວັດທີ 19, ຕົ້ນສັດຕະວັດທີ 20, ການຮຸກຮານຂອງພວກລ່າເມືອງຂຶ້ນຝຣັ່ງ ໄດ້ປ່ຽນຫວຽດນາມ ຈາກປະເທດສັກດິນາກາຍເປັນປະເທດຫົວເມືອງຂຶ້ນ, ເຄິ່ງສັກດິນາເທື່ອລະກ້າວ, ປະເທດເຮົາເສຍເອກະລາດ, ປະຊາຊົນເຮົາດໍາລົງຊີວິດແບບຂ້ອຍຂ້າ, ລໍາບາກກາກກໍາພາຍໃຕ້ການກົດຂີ່ຂູດຮີດຂອງພວກລ່າເມືອງຂຶ້ນ ແລະສັກດິນາລູກແຫຼ້ງຕີນມື.	Nhà văn Nguyễn Hữu Nhảy, Trưởng ban Khoa học Chính trị Hồ Chí Minh, cho biết: “Thực tế cho thấy cuối thế kỷ 19, đầu thế kỷ 20, giặc Pháp đã biến Việt Nam từ một nước phong kiến. sang một nước tư bản.
ພະນັກງານ, ຄູອາຈານພະແນກໂຮ່ຈີມິນ ວິທະຍາ (ວິທະຍາຄານການເມືອງ) ທີ່ກອງປະຊຸມສໍາມະນາ “ໂຮ່ຈີມິນ ກັບເສັ້ນທາງພັດທະນາຂອງຫວຽດນາມ - ບັນດາບັນຫາທິດສະດີ ແລະພຶດຕິກໍາຕົວຈິງ.	Cán bộ, giảng viên Khoa Chính trị Hồ Chí Minh tại Hội thảo “Hồ Chí Minh và con đường phát triển của Việt Nam - những vấn đề lý luận và thực tiễn.
ພາບ: ເລແອງ.	Ảnh: Lê Anh
ຕໍ່ໜ້າສະພາບການດັ່ງກ່າວ, ຫງວຽນເຕິດແທ່ງ ໄດ້ຄິດເຖິງເລື່ອງໄປຕ່າງປະເທດເພື່ອເບິ່ງເຂົາເຈົ້າເຮັດຄືແນວໃດແລ້ວກັບຄືນປະເທດຊ່ວຍພີ່ນ້ອງຮ່ວມຊາດຂອງຕົນ.	Trước tình hình đó, Nguyễn Tất Thành nghĩ đến việc ra nước ngoài xem họ làm được gì rồi về nước giúp đỡ đồng bào.
ຄວາມນຶກຄິດນັ້ນໄດ້ປະກົດຜົນເປັນຈິງ ແລະເລີ່ມຕົ້ນດ້ວຍເຫດການກ່ອນນີ້ 110 ປີ, ໃນວັນທີ 5 ມິຖຸນາ 1911, ເພິ່ນ ໄດ້ລົງເຮືອການຄ້າລໍາໜຶ່ງຂອງຝຣັ່ງ ທີ່ມີຊື່ວ່າ Amiral Latouche-Tréville, ເລີ່ມຕົ້ນວິວັດການໄປຊອກຫາເສັ້ນທາງກູ້ຊາດ.	Ý tưởng đó đã thành hiện thực và bắt đầu từ 110 năm trước, vào ngày 5 tháng 6 năm 1911, khi ông lên một con tàu buôn của Pháp, Amiral Latouche-Tréville, để bắt đầu hành trình cứu quốc.
ພາຍຫຼັງຊອກຮູ້, ຄົ້ນຄວ້າ, ສໍາຫຼວດຕົວຈິງມາຫຼາຍປີ, ຮອດເດືອນກໍລະກົດ 1920, ເພິ່ນ ກໍານົດໄດ້ເສັ້ນທາງອັນຖືກຕ້ອງເພື່ອກູ້ຊາດ ແລະພັດທະນາປະເທດຊາດ - ນັ້ນແມ່ນເສັ້ນທາງປະຕິວັດກໍາມະຊີບ...	Sau nhiều năm tìm tòi, nghiên cứu, tìm tòi, đến tháng 7-1920, Người đã xác định được con đường cứu nước và phát triển dân tộc đúng đắn - đó là con đường cách mạng chuyên nghiệp ...
ກໍ່ສ້າງສັງຄົມນິຍົມ - ເສັ້ນທາງພັດທະນາປະເທດຊາດແບບຍືນຍົງ	Xây dựng chủ nghĩa xã hội - Con đường phát triển quốc gia bền vững
ພັນໂທ, ຮສຈ.	Trung tá, PGS.
