ກປ.ອອນໄລ - ວັນທີ 4 ມິຖຸນາ, ທ່ານ ຟ້າມມິງຈີ໊ງ ນາຍົກລັດຖະມົນຕີ ແຫ່ງ ສສ ຫວຽດນາມ ໄດ້ສົນທະນາທາງໄກກັບທ່ານ ຫຼີເຄີສຽງ ນາຍົກລັດຖະມົນຕີ ແຫ່ງ ສປ ຈີນ.	19 bài dự thi được tổ chức theo kế hoạch đề ra với các thể loại, chuyên mục: Âm nhạc, Múa và Hát.
ໃນການສົນທະນາ, ນາຍົກລັດຖະມົນຕີສອງທ່ານ ໄດ້ເຫັນດີເປັນເອກະພາບສູງ ໂດຍຖືວ່າ ບົນພື້ນຖານການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊືື້ອ ແລະການຊີ້ນໍາໂດຍກົງຂອງການນໍາຫຼັກແຫຼ່ງຂອງສອງພັກ, ສອງລັດ, ນໍາໜ້າແມ່ນທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຝູຈ້ອງ ແລະທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຈີນ ສີຈິ້ນຜິ້ງ, ພ້ອມກັບຄວາມມານະພະຍາຍາມຂອງທັງສອງຝ່າຍ, ການພົວພັນລະຫວ່າງສອງພັກ, ສອງລັດ ສືບຕໍ່ພັດທະນາຢ່າງດີງາມໃນທຸກຂົງເຂດໃນໄລຍະຜ່ານມາ.	Đại tá Đặng Phi Haeng, Phó Cục trưởng Cục Văn hóa - Văn nghệ, Cục Tuyên huấn, Cục Công tác chính trị kiêm Giám đốc Đội Văn hóa - Văn nghệ kiêm Giám đốc “Hội thao văn nghệ trong Quân đội 2021” cho biết:
ນາຍົກລັດຖະມົນຕີສອງທ່ານ ໄດ້ແລກປ່ຽນ ແລະບັນລຸໄດ້ຄວາມຮັບຮູູ້ລວມກ່ຽວກັບຄວາມສໍາຄັນຂອງການພົວພັນບ້ານໃກ້ເຮືອນຄຽງມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານຫວຽດນາມ-ຈີນ ແລະບັນດາມາດຕະການເພີ່ມທະວີການພົວພັນສອງຝ່າຍໃນໄລຍະຈະມາເຖິງ...	Mỗi quốc gia đều có một điểm độc đáo của phong trào quân đội nghệ thuật;
ທ່ານນາຍົກລັດຖະມົນຕີ ຟ້າມມິງຈີ໊ງ ໃນການສົນທະນາທາງໄກກັບທ່ານນາຍົກລັດຖະມົນຕີຈີນ ຫຼີເຄີສຽງ.	Tuy nhiên, Việt Nam có những sắc màu văn hóa độc đáo, có nền tảng văn hóa đồng nhất về nhiều hình thức nên các tiết mục tham gia cuộc thi rất độc đáo, phong phú.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Với sự chuẩn bị, huấn luyện chu đáo, cùng với sự quyết tâm của tập thể và sự tận tâm của tập thể lãnh đạo, chỉ huy các tổ chức, phòng, ban, đơn vị văn hóa, văn nghệ sẽ đạt được nhiều thành tích, trong đó có nhiều thành tích xuất sắc trong danh sách quân đội quốc tế. Cuộc thi thể thao.
ກ່ຽວກັບບັນຫາບົນທະເລ, ທ່ານນາຍົກລັດຖະມົນຕີ ຟ້າມມິງຈີ໊ງ ສະເໜີໃຫ້ພ້ອມກັນມານະພະຍາຍາມຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ແກ້ໄຂໃຫ້ກົມກຽວ, ຖືກຕ້ອງຕາມເນື້ອໃນຈິດໃຈຄວາມຮັບຮູ້ລວມຂັ້ນສູງ ແລະເຄົາລົບກົດໝາຍ, ໃນນັ້ນມີສົນທິສັນຍາຂອງ ສປຊ ກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລ ປີ 1982, ຄວບຄຸມຄວາມບໍ່ລົງລອຍກັນໃຫ້ເປັນຢ່າງດີ ແລະເຂົ້າໃຈກັນ, ເອົາໃຈໃສ່ເຖິງຜົນປະໂຫຍດ, ສິດຜົນປະໂຫຍດອັນຊອບທໍາ, ຖືກຕ້ອງຕາມກົດໝາຍ, ສະຖານະການຂອງກັນເພື່ອພ້ອມກັນຊຸກຍູ້ແກ້ໄຂບັນຫາທະເລຕາເວັນອອກ ຕາມທິດນໍາແຕ່ງ່າຍຫາຍາກ, ບໍ່ໃຫ້ສົ່ງຜົນສະທ້ອນເຖິງສະພາບລວມຂອງການພົວພັນສອງຝ່າຍ, ມານະພະຍາຍາມພ້ອມກັບອາຊຽນ ຕັ້ງໜ້າຊຸກຍູ້ການເຈລະຈາໃນການສ້າງກົດແຫ່ງການປະພຶດຢູ່ທະເລຕາເວັນອອກ (COC) ໃຫ້ມີຄວາມຄືບໜ້າ, ບັນລຸ COC ຢ່າງມີປະສິດທິຜົນ ແລະແທດຈິງໂດຍໄວ.	Nhận xét về báo cáo kết quả hoạt động giai đoạn 1 của các đội văn nghệ tham gia “Đoàn văn công”, Thiếu tướng Cảnh Văn Quyết, Ủy viên T.Ư Đảng, Phó Tổng cục trưởng Tổng cục Chính trị QĐND Việt Nam biểu dương. những người tham gia cho khóa đào tạo của họ.
ສ່ວນທ່ານນາຍົກລັດຖະມົນຕີຈີນ ຫຼີເຄີສຽງ ຢັ້ງຢືນວ່າ ພັກ, ລັດຖະບານ ແລະປະຊາຊົນຈີນ ຖືເປັນສໍາຄັນການພົວພັນກັບຫວຽດນາມ, ພ້ອມແລ້ວທີ່ຈະສືບຕໍ່ນໍາການພົວພັນບ້ານໃກ້ເຮືອນຄຽງມິດຕະພາບລະຫວ່າງສອງປະເທດ ໃຫ້ພັດທະນາເຂົ້າສູ່ລວງເລິກ, ມີປະສິດທິຜົນ, ນໍາເອົາຜົນປະໂຫຍດອັນແທດຈິງມາໃຫ້ປະຊາຊົນສອງປະເທດ;	Thượng tướng Cảnh Văn Quyết bức xúc: Với nhiệm vụ là “Đoàn văn công, các thành viên trong đội phải nỗ lực hơn nữa.
ເຫັນດີເພີ່ມທະວີການຮ່ວມມື, ໜູນຊ່ວຍຫວຽດນາມ ໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19;	Bởi lẽ, thông qua các chương trình nghệ thuật thể hiện sự lớn mạnh của đất nước, quân đội và nền tảng văn hóa Việt Nam.
ທ່ານ ຢັ້ງຢືນວ່າ ຈີນ ຖືເປັນສໍາຄັນຕໍ່ຄວາມສົນໃຈ ແລະຂໍ້ສະເໜີຂອງຫວຽດນາມ ໃນການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ການລົງທຶນ;	Đặc biệt, các chương trình phải thể hiện được sự giao hòa văn hóa giữa Việt Nam với các nước, góp phần tăng cường tình hữu nghị giữa Việt Nam với bạn bè quốc tế.
ປາດຖະໜາຢາກຊຸກຍູ້ກົນໄກເຈລະຈາກ່ຽວກັບບັນຫາທີ່ເກີດຂຶ້ນຢູ່ທະເລເພື່ອບັນລຸໄດ້ຄວາມຄືບໜ້າທີ່ແທດຈິງໂດຍໄວ, ໂດຍສະເພາະແມ່ນມານະພະຍາຍາມພ້ອມກັບອາຊຽນ ບັນລຸໄດ້ COC ໂດຍໄວ.	Bởi: Moonlight.
ໂດຍ: ໄຊຊະນະ.	 ...
