ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 21 ມິຖຸນາ, ທ່ານ ເວືອງດິ່ງເຫວ້ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ເຈລະຈາທາງໄກກັບທ່ານ Oshima Tadamori ປະທານສະພາຕ່ຳຍີ່ປຸ່ນ.	Quốc hội ngày 21 tháng 6, Quốc hội đã đàm phán với Tổng thống Nhật Bản Oshima Tadang, Nhật Bản.
ທີ່ການພົບປະເຈລະຈາ, ການນຳສອງທ່ານສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອເຫັນວ່າການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດເລິກເຊິ່ງກວ້າງຂວາງຫວຽດນາມ-ຍີ່ປຸ່ນ ພວມພັດທະນາຢ່າງແຮງໃນຫຼາຍຂົງເຂດ.	Tại cuộc họp, hai lãnh đạo bạn thể hiện sự hợp tác chiến lược sâu sắc của Việt Nam, Nhật Bản đang phát triển trong nhiều lĩnh vực.
ຄຽງຂ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ ແລະການພົວພັນດ້ານການເມືອງທີ່ດີງາມ, ໂດຍບໍ່ຫົວຊາຕໍ່ຜົນກະທົບຂອງພະຍາດໂຄວິດ-19, ສອງປະເທດສືບຕໍ່ຮັກສາ ແລະເພີ່ມທະວີການພົວພັນດ້ານເສດຖະກິດ, ການຄ້າ, ການລົງທຶນ, ປະກອບສ່ວນເຂົ້າໃນການຟື້ນຟູເສດຖະກິດຢູ່ແຕ່ລະປະເທດກໍ່ຄືຊຸກຍູ້ການຟື້ນຟູເສດຖະກິດຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Theo khía cạnh của niềm tin và quan hệ chính trị với tác động, thương mại, đầu tư, đầu tư, đầu tư vào khu vực và trên thế giới.
ທ່ານ ເວືອງດິ່ງເຫວ້ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ທີ່ການເຈລະຈາທາງໄກ.	Quốc hội Nguyễn Giám đốc Nguyễn Nguyên nhân Chủ tịch Quốc hội
ພາບ: ຈ໊ຽນຖັ໊ງ.	Ảnh: VNA AGENDUM
ການນຳສອງທ່ານເຫັນດີເປັນເອກະພາບຖືວ່າ ການຮ່ວມມືລະຫວ່າງສອງສະພາແຫ່ງຊາດສວມບົດບາດສຳຄັນທີ່ສຸດໃນການຊຸກຍູ້ການຮ່ວມມືລະຫວ່າງສອງປະເທດ.	Hai lãnh đạo bạn đồng ý rằng hai chính phủ quốc gia đóng vai trò quan trọng nhất trong việc thúc đẩy sự hợp tác giữa hai nước.
ໃນໄລຍະຈະມາເຖິງ, ຫວຽດນາມ ແລະຍີ່ປຸ່ນ ສືບຕໍ່ຊຸກຍູ້ການພົວພັນຮ່ວມມືລະຫວ່າງສະມາຊິກລັດຖະສະພາສອງປະເທດ, ໂດຍສະເພາະແມ່ນສະມາຊິກລັດຖະສະພາໜຸ່ມ, ກຸ່ມສະມາຊິກ ລັດຖະສະພາມິດຕະພາບ;	Tại sự xuất hiện, Việt Nam và Nhật Bản tiếp tục thúc đẩy sự hợp tác giữa các thành viên hai coocil, đặc biệt là Hội đồng thân thiện;
ສືບຕໍ່ເພີ່ມທະວີການພົບປະແລກປ່ຽນປະຊາຊົນສອງປະເທດຜ່ານການຈັດຕັ້ງບັນດາຄະນະສະມາຊິກລັດຖະສະພາບັນດາທ້ອງຖິ່ນຂອງສອງປະເທດໄປຢ້ຽມຢາມ, ເຮັດວຽກ, ສົ່ງເສີມການລົງທຶນ, ໂຄສະນາເຜີຍແຜ່ພາບພົດ, ຄວາມສາມາດບົ່ມຊ້ອນດ້ານການທ່ອງທ່ຽວ ແລະການພົບປະແລກປ່ຽນວັດທະນະທຳຢູ່ຫວຽດນາມ.	Tiếp tục tăng hai dân số của các tòa án địa phương, du lịch, du lịch và lương hưu văn hóa và văn hóa tại Việt Nam.
ໃນການເຈລະຈາທາງໄກ, ການນຳສອງທ່ານໄດ້ແລກປ່ຽນບັນຫາສາກົນ ແລະພາກພື້ນທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ.	Trong một cuộc đàm phán đường dài, hai trong số những người lãnh đạo bạn đã trao đổi các vấn đề quốc tế và khu vực.
ສອງຝ່າຍກໍ່ຢັ້ງຢືນຄວາມສຳຄັນຂອງການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພ, ສິດເສລີໃນການເດີນທະເລ ແລະການບິນຢູ່ທະເລຕາເວັນອອກ, ເຄົາລົບກົດໝາຍ, ແກ້ໄຂການຂັດແຍ້ງກັນໂດຍສັນຕິວິທີບົນພື້ນຖານກົດໝາຍສາກົນ, ໃນນ້ັນມີສົນທິສັນຍາຂອງສະຫະປະຊາຊາດກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລ ປີ 1982 (UNCLOS 1982);	Cả hai bên xác nhận tầm quan trọng của việc gìn giữ hòa bình, ổn định, an ninh, luật pháp của Lawye về Luật Biển Đạo luật Biển Đảng;
ຕີລາຄາສູງຄວາມມານະພະຍາຍາມຂອງອາຊຽນ ທີ່ມີຕໍ່ບັນຫາມຽນມາ.	Đánh giá cao nỗ lực ASEAN để Miến Điện.
ໂດຍ: ແສງເດືອນ.	Đăng bởi: Tháng ánh sáng.
