ກປ.ອອນໄລ - ການຢ້ຽມຢາມສັນຖະວະໄມຕີ ສສ.	KPR Online - Chuyến thăm hữu nghị tới Cộng hòa Dân chủ Nhân dân Lào.
ຫວຽດນາມ ຢ່າງເປັນທາງການຂອງທ່ານ ທອງລຸນ ສີສຸລິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດ ແຫ່ງ ສປປ ລາວ ແມ່ນໂອກາດເພື່ອໃຫ້ສອງຝ່າຍສືບຕໍ່ແລກປ່ຽນບົດຮຽນໃນການພັດທະນາ, ຊຸກຍູ້ຂໍ້ຕົກລົງຂັ້ນສູງຂອງສອງປະເທດ.	Chuyến thăm chính thức Việt Nam của Tổng Thư ký Thongloun Sisoulith, Chủ tịch nước CHDCND Lào là cơ hội để hai bên tiếp tục trao đổi các bài học phát triển, thúc đẩy các thỏa thuận cấp cao giữa hai nước.
ທ່ານ ທອງລຸນ ສີສຸລິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດລາວ ແລະພັນລະຍາ ທີ່ສະໜາມບິນສາກົນໂນ້ຍບ່າຍ, ຮ່າໂນ້ຍ.	Ngài Thongloun Sisoulit, Tổng Bí thư, Chủ tịch nước CHDCND Lào và Phu nhân tại Sân bay Quốc tế Nội Bài, Hà Nội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ວັນທີ 28 ມິຖຸນາ, ທ່ານ ທອງລຸນ ສີສຸລິດ ເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກປະຊາຊົນ ປະຕິວັດລາວ, ປະທານປະເທດແຫ່ງ ສປປ ລາວ ແລະພັນລະຍາ ພ້ອມດ້ວຍຄະນະຜູ້ແທນຂັ້ນສູງພັກ ແລະລັດລາວ ເລີ່ມຕົ້ນການຢ້ຽມຢາມສັນຖະວະໄມຕີ ສສ.	Ngày 28/6, Ngài Thongloun Sisoulit, Tổng Bí thư Ban Chấp hành Trung ương Đảng Nhân dân Cách mạng Lào, Chủ tịch nước CHDCND Lào và Phu nhân cùng Đoàn đại biểu cấp cao Đảng, nước CHDCND Lào bắt đầu chuyến thăm. đến Hoa Kỳ.
ຫວຽດນາມ ຢ່າງເປັນທາງການໃນລະຫວ່າງວັນທີ 28-29 ມິຖຸນາ 2021 ຕາມຄໍາເຊີນຂອງທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດຫວຽດນາມ ແລະພັນລະຍາ, ທ່ານ ຫງວຽນຊວນຟຸກ ປະທານປະເທດ ແຫ່ງ ສສ.ຫວຽດນາມ ແລະພັນລະຍາ.	Ngày 28-29 / 6/2021, theo lời mời của Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam và Phu nhân, Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam Nguyễn Xuân Phúc và Phu nhân.
ທ່ານ ຫວໍວັນເຖືອງ, ກໍາມະການກົມການເມືອງ, ຜູ້ປະຈໍາການຄະນະເລຂາທິການສູນກາງພັກກອມມູນິດຫວຽດນາມ ຕ້ອນຮັບທ່ານ ທອງລຸນ ສີສຸລິດ ເລຂາທິການໃຫຍ່, ປະທານປະເທດລາວ ແລະພັນລະຍາ ທີ່ສະໜາມບິນສາກົນໂນ້ຍບ່າຍ, ຮ່າໂນ້ຍ.	Đồng chí Võ Văn Thưởng, Ủy viên Bộ Chính trị, Bí thư Thường trực Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam tiếp Ngài Thongloun Sisoulit, Tổng Bí thư, Chủ tịch nước CHDCND Lào và Phu nhân tại Sân bay Quốc tế Nội Bài, Hà Nội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ນີ້ແມ່ນການຢ້ຽມຢາມຕ່າງປະເທດຄັ້ງທໍາອິດຂອງທ່ານ ທອງລຸນ ສີສຸລິດ ໃນຖານະເປັນເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກປະຊາຊົນ ປະຕິວັດລາວ, ປະທານປະເທດ ແຫ່ງ ສປປ ລາວ ອາຍຸການ 2021-2026.	Đây là chuyến thăm nước ngoài đầu tiên của đồng chí Thongloun Sisoulit trên cương vị Tổng Bí thư Ban Chấp hành Trung ương Đảng Nhân dân Cách mạng Lào, Chủ tịch nước CHDCND Lào nhiệm kỳ 2021-2026.
ການຢ້ຽມຢາມຄັ້ງນີ້ປະກອບສ່ວນຢັ້ງຢືນແນວທາງພົວພັນຕ່າງປະເທດສະເໝີຕົ້ນສະເໝີປາຍຂອງທັງສອງປະເທດ, ພິເສດແມ່ນການຖືເປັນສໍາຄັນການຮັກສາ ແລະພັດທະນາສາຍພົວພັນມິດຕະພາບທີ່ຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງຫວຽດນາມ-ລາວ, ລາວ-ຫວຽດນາມ ຢ່າງບໍ່ຢຸດຢັ້ງ.	Chuyến thăm này góp phần tái khẳng định ưu tiên của hai nước trong quan hệ đối ngoại, nhất là coi trọng việc duy trì và phát triển quan hệ hữu nghị vĩ đại, đoàn kết đặc biệt và hợp tác toàn diện Việt Nam, Lào và Việt Nam.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
