ກປ.ອອນໄລ - ວັນທີ 8 ກໍລະກົດ, ກອງປະຊຸມສູນກາງ ຄັ້ງທີ 3 ໄດ້ດໍາເນີນພິທີອັດກອງປະຊຸມ.	KPR Online - Ngày 8/7, Hội đồng Đội Trung ương 3 tổ chức bế mạc kỳ họp.
ນີ້ແມ່ນຜົນສຳເລັດຢ່າງຈົບງາມສືບຕໍ່ຜົນສຳເລັດຂອງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ ແລະກອງປະຊຸມສູນກາງຄັ້ງຕ່າງໆຜ່ານມາ.	Đây là thành công tốt đẹp, tiếp nối thành công của Đại hội lần thứ XIII của Đảng và các kỳ Đại hội Trung ương trước đây.
ຜົນສຳເລັດຂອງກອງປະຊຸມສືບຕໍ່ປັບປຸງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ ຄວາມມຸ່ງມາດປາດຖະໜາຕື່ມອີກ;	Thành công của kỳ họp càng nâng cao lòng tin, thiện chí và mong muốn của người dân;
ເຈາະຈິ້ມທັດສະນະໃໝ່, ຄົບຖ້ວນກວ່າໃຫ້ທົ່ວພັກ, ທົ່ວປວງຊົນ ກ່ຽວກັບໄລຍະທາງຕໍ່ໄປເພື່ອຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍ ແລະກ້າວຂຶ້ນໃນເງື່ອນໄຂໃໝ່.	Đưa ra tầm nhìn đầy tham vọng hơn, đầy đủ hơn cho toàn Đảng, toàn dân về những bước tiếp theo để vượt qua khó khăn, thách thức, vững bước trong điều kiện mới.
ກອງປະຊຸມສູນກາງ ຄັ້ງທີ 3 ມີບົດບາດສຳຄັນທີ່ສຸດ ແລະໄດ້ຮັບຖືວ່າແມ່ນກອງປະຊຸມ “ສ້າງພື້ນຖານ ໃຫ້ບັນດາການເຄື່ອນໄຫວທົ່ວສະໄໝຂອງຄະນະບໍລິຫານງານສູນກາງພັກສະໄໝທີ XIII.	Ban Chấp hành Trung ương khóa III có vai trò rất quan trọng và được coi là kỳ họp “đặt nền móng cho hoạt động của Ban Chấp hành Trung ương Đảng khóa XIII.
ເວົ້າຄືແນວນັ້ນຍ້ອນວ່າສູນກາງໄດ້ເສີມຂະຫຍາຍພູມປັນຍາ, ເຊີດຊູຄວາມຮັບຜິດຊອບ, ສຸມໃສ່ປຶກສາຫາລື, ປະກາດໃຊ້ກົດລະບຽບການເຮັດວຽກຂອງຄະນະບໍລິຫານງານສູນກາງພັກ, ກົມການເມືອງ, ຄະນະເລຂາທິການ ສະໄໝທີ XIII ປະສົບຜົນສໍາເລັດ.	Nói như vậy là do Trung ương đã phát huy thành công trí tuệ, trách nhiệm giải trình, tập trung tham mưu, ban hành Quy chế làm việc của Ban Chấp hành Trung ương Đảng, Bộ Chính trị, Ban Bí thư khóa 13.
ນີ້ແມ່ນວຽກງານທີ່ຈໍາເປັນນັບແຕ່ຕົ້ນອາຍຸການຂອງ “ແຕ່ລະສະໄໝຫຼັງກອງປະຊຸມໃຫຍ່ຂອງພັກ, ເພື່ອຫັນກົດລະບຽບພັກໃຫ້ປະກົດຜົນເປັນຈິງ;	Đây là nhiệm vụ cần thiết từ đầu nhiệm kỳ của “mỗi chi bộ sau Đại hội Đảng, nhằm biến điều lệ đảng thành hiện thực;
ກຳນົດພາລະບົດບາດ, ໜ້າທີ່, ຄວາມຮັບຜິດຊອບ, ຂອບເຂດສິດ, ລະບອບເຮັດວຽກ ແລະວີທີການປະຕິບັດງານຂອງບັນດາອົງການນຳພາຂອງພັກ;	Quy định vai trò, chức trách, nhiệm vụ, quyền hạn, chế độ, lề lối làm việc của các cơ quan lãnh đạo của Đảng;
ຮັບປະກັນການປະຕິບັດຕາມຫຼັກການຈັດຕັ້ງ ແລະເຄື່ອນໄຫວຂອງພັກຢ່າງເຂັ້ມງວດ.	Đảm bảo tuân thủ nghiêm các nguyên tắc tổ chức và sinh hoạt đảng.
ດ້ວຍຄວາມໝາຍດັ່ງກ່າວ, ກອງປະຊຸມສູນກາງ ໄດ້ກຳນົດຂໍ້ກຳນົດຢ່າງລະອຽດ, ເຄັ່ງຄັດ, ເໝາະສົມກັບຕົວຈິງ;	Nắm bắt được điều này, Hội nghị Trung ương đã đề ra những điều khoản rõ ràng, chặt chẽ, thiết thực;
ຮັບປະກັນເສີມຂະຫຍາຍລັກສະນະປະຊາທິປະໄຕກວ່າອີກໃນການດຳເນີນຊີວິດພັກ, ດຳເນີນຊີວິດຂອງຄະນະບໍລິຫານງານສູນກາງພັກ, ກົມການເມືອງ, ຄະນະເລຂາທິການ...	Bảo đảm tăng cường bản chất dân chủ của Đảng, Ban Chấp hành Trung ương Đảng, Bộ Chính trị, Ban Bí thư ...
