ກປ.ອອນໄລ - ຫວຽດນາມ ໄດ້ເຊັນ ແລະໃຫ້ສັດຕະຍາບັນສົນທິສັນຍາວ່າດ້ວຍການຫ້າມທົດລອງນິວເຄຼຍຮອບດ້ານ ແລະສົນທິສັນຍາວ່າດ້ວຍການຫ້າມອາວຸດນິວເຄຼຍ (TPNW).	Việt Nam ký và phê chuẩn Công ước Cấm vũ khí hạt nhân và Công ước Cấm vũ khí hạt nhân (TPNW).
ທ່ານ ຫງວຽນຈູງກຽນ ເອກອັກຄະລັດຖະທູດຫວຽດນາມ ປະຈໍາ ໂອຕາລິດ, ຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈຳຢູ່ອົງການສົນທິສັນຍາວ່າດ້ວຍການຫ້າມທົດລອງນິວເຄຼຍຮອບດ້ານ (CTBTO) ຫາກໍ່ຍື່ນໃບມອບສິດເຖິງທ່ານ ປອ.	Nguyễn Trọng Kiên, Đại sứ Việt Nam tại Áo vừa trao giấy ủy quyền cho Hiệp ước Cấm thử nghiệm toàn diện hạt nhân (CTBTO).
Robert Floyd ເລຂາປະສານງານອົງການຈັດຕັ້ງນີ້.	Robert Floyd Điều phối viên của tổ chức này.
ທ່ານ ຫງວຽນຈູງກຽນ ເອກອັກຄະລັດຖະທູດຫວຽດນາມ ປະຈໍາ ໂອຕາລິດ (ຜູ້ທີສອງທາງເບື້ອງຊ້າຍ) ເຮັດວຽກກັບທ່ານ ປອ.	Đại sứ Việt Nam tại Áo Nguyễn Trọng Kiên (thứ hai từ trái sang) làm việc với Po.
Robert Floyd.	Robert Floyd.
ພາບ: vov.vn.	Ảnh: vov.vn.
ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ, ທ່ານ ຫງວຽນຈູງກຽນ ເນັ້ນໜັກວ່າ ຫວຽດນາມ ຕີລາຄາສູງຕໍ່ບົດບາດຂອງສົນທິສັນຍາວ່າດ້ວຍການຫ້າມທົດລອງນິວເຄຼຍຮອບດ້ານ (CTBT) ໃນການຮັບປະກັນຄວາມໝັ້ນຄົງ, ຫຼຸດຜ່ອນຄວາມສ່ຽງທີ່ອາດຈະເກີດວິກິດການນິວເຄຼຍຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Phát biểu ý kiến về tác phẩm, ông Nguyễn Trọng Kiên nhấn mạnh Việt Nam đánh giá cao vai trò của Hiệp ước Cấm thử hạt nhân toàn diện (CTBT) trong việc đảm bảo ổn định và giảm nguy cơ xảy ra khủng hoảng hạt nhân ở khu vực và trên thế giới.
ຫວຽດນາມ ໄດ້ເຊັນສົນທິສັນຍາປີ 1996 ແລະໃຫ້ສັດຕະຍາບັນໃນປີ 2006.	Việt Nam ký hiệp ước năm 1996 và phê chuẩn vào năm 2006.
ທ່ານ Robert Floyd ຕີລາຄາສູງຕໍ່ບົດບາດຂອງຫວຽດນາມ ໃນການປະກອບສ່ວນສະກັດກັ້ນການພັດທະນາອາວຸດນິວເຄຼຍ.	Robert Floyd ca ngợi vai trò của Việt Nam trong việc góp phần ngăn chặn phát triển vũ khí hạt nhân
ຢູ່ລະດັບສາກົນ, ຫວຽດນາມ ໄດ້ເຊັນ ແລະໃຫ້ສັດຕະຍາບັນສົນທິສັນຍາວ່າດ້ວຍການຫ້າມອາວຸດນິວເຄຼຍຮອບດ້ານ ແລະສົນທິສັນຍາຫ້າມອາວຸດນິວເຄຼຍ (TPNW).	Ở cấp độ quốc tế, Việt Nam đã ký và phê chuẩn Công ước toàn diện về vũ khí hạt nhân và Hiệp ước không phổ biến vũ khí hạt nhân (TPNW).
ຢູ່ພາກພື້ນອາຊຽນ, ຫວຽດນາມ ແມ່ນໜຶ່ງໃນບັນດາປະເທດທີ່ຕັ້ງໜ້າໃນວິວັດການສ້າງ ແລະປະຕິບັດສົນທິສັນຍາວ່າດ້ວຍພາກພື້ນອາຊີຕາເວັນອອກສ່ຽງໃຕ້ປອດອາວຸດນິວເຄຼຍ (SEANFWZ).	Trong khu vực ASEAN, Việt Nam là một trong những quốc gia đi đầu trong việc xây dựng và thực hiện Công ước không phổ biến vũ khí hạt nhân ở Đông Nam Á (SEANFWZ).
ໂດຍ: ໄຊນີດາ.	Bởi: Xay Nida.
